Materials,Stock,Duplicates,,
ZR97CN42,0000000,1,,
ZD97TN00,0000000,1,,
ZD97NL50,0000000,1,,TC- Source file statistics.
ZD97LL50,0000000,1,,1. Total number materials from TC – 94713
ZD97LL00,0000000,1,,2. Total number of materials which are having zero quantity- 67802
ZC97TN11,0000000,1,,3. Total number of materials which are having stock quantity- 26295
ZC97LL11,0000000,1,,4. Duplicate materials –
ZB97TN11,0000000,1,,Materials which are having zero quantity-0
ZB97TN00,0000000,1,,Materials which are having stock quantity- 300
ZB97NL50,0000000,1,,
ZB97ML71,0000000,1,,
ZB97ME71,0000000,1,,
ZB97LL50,0000000,1,,
ZB97LL11,0000000,1,,
ZB97LL00,0000000,1,,
ZA97NL50,0000000,1,,
ZA97LL50,0000000,1,,
YZ98NL50,0000000,1,,
YZ98LL50,0000000,1,,
YY98TN11,0000000,1,,
YY98TN00,0000000,1,,
YY98NL50,0000000,1,,
YY98LL50,0000000,1,,
YY98LL11,0000000,1,,
YY98LL00,0000000,1,,
YX45TN11,0000000,1,,
YX45LL11,0000000,1,,
YI43TN11,0000000,1,,
YI43LL11,0000000,1,,
XX45TN11,0000000,1,,
XX45LL11,0000000,1,,
XI43TN11,0000000,1,,
XI43LL11,0000000,1,,
WY0101,0000000,1,,
WO50TN11,0000000,1,,
WO50LL11,0000000,1,,
TS-DISPO 2003,0000000,1,,
TESTS 5555,0000000,1,,
Test,0000000,1,,
SWY0101,0000032,1,,
SWX5503,0000160,1,,
SWX5502,0000000,1,,
SV 2006,0000000,1,,
SS202135,0000000,1,,
SK8968,0000011,1,,
SK7959,0000034,1,,
SK6587,0000000,1,,
SK5877,0000160,1,,
SFF2143,0000000,1,,
SFF0652,0000080,1,,
S908125160,0000000,1,,
S900847,0000000,1,,
S900817,0000000,1,,
S900501,0000190,1,,
S900001,0000055,1,,
S900000,0000065,1,,
S801307,0000000,1,,
S801294,0000000,1,,
S801293,0000000,1,,
S801286,0000000,1,,
S801267,0000018,1,,
S801266,0000000,1,,
S801262,0000000,1,,
S801260,0000033,1,,
S801259,0000000,1,,
S801257,0000000,1,,
S801254,0000000,1,,
